,url,name,header,guests,bedrooms,beds,bathrooms,kitchen,wifi,free-parking,rating,review,Actual_price per,Total_price
49,/rooms/28962283?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Private room in Kaltenbach,Zillertalblick,4,2,2,1,1,1,1,4.95,58,10472,45105
50,/rooms/13584823?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire home in Mayrhofen,Vacation rental Nieslerhof,8,3,0,0,0,0,0,4.88,17,15355,69589
51,/rooms/48188935?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Schwaz,Apartment in Mayrhofen with a balcony,6,3,3,2,1,1,0,0,0,13413,53653
52,/rooms/14783889?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Mayrhofen ,Ferienwohnung HOF NEUHAUS,4,2,2,2,1,1,1,5,5,10816,48213
53,/rooms/600391189818835087?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire holiday home in Tux,Genuss.Haus.Fankhauser,4,2,2,1,1,1,1,0,0,14028,61887
54,/rooms/14619192?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Hainzenberg,Cozy Apartment in Calm Surroundings,4,2,3,1,1,1,1,4.5,3,8606,38137
55,/rooms/48339346?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Laimach,"""App 2-4 Persons"" in the Apartment House Alpenjuwel near several Ski Resorts with Wi-Fi & Parking",4,1,2,1,1,1,1,0,0,6519,31191
56,/rooms/22134628?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Mayrhofen,Mountain chalet,6,3,4,1,1,1,1,4.79,128,26555,106220
57,/rooms/39850658?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Laimach,Luxury apartment  Zillertal,6,2,3,1.5,1,1,1,4.94,17,17096,72508
58,/rooms/37379678?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Entire rental unit in Kaltenbach,Luxner (KAB130) for 5 persons.,5,2,4,1,1,1,0,5,4,9345,37380
59,/rooms/26600037?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=1807da9e-4895-419d-9aae-e68a7e5f3dd2,Private room in Gerlosberg,"Chalet ""Daheim""",4,1,4,1,1,1,0,4.94,20,7614,35406
60,/rooms/37379678?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire rental unit in Kaltenbach,Luxner (KAB130) for 5 persons.,5,2,4,1,1,1,0,5,4,9345,37380
61,/rooms/51051744?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire serviced apartment in Mayrhofen,Deluxe Appartement 44m² im Apparthotel Veronika,4,1,0,1,1,1,1,0,0,34276,137105
62,/rooms/14783889?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire rental unit in Mayrhofen ,Ferienwohnung HOF NEUHAUS,4,2,2,2,1,1,1,5,5,10816,48213
63,/rooms/51203452?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire serviced apartment in Hainzenberg,"The Waidachhof Zillertal - apartment ""Kreuzjoch""",4,2,2,2,1,1,1,0,0,12951,55105
64,/rooms/54188695?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire rental unit in Stumm,Bonapart Zillertal TOP 1,6,2,4,1,1,1,1,5,4,13038,52151
65,/rooms/41810805?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire apartment in Tux,Apartment Lisa - Apartment with beautiful panorama,5,1,0,1.5,1,1,1,5,17,12295,55370
66,/rooms/52976563?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Private room in Schwendau,Quaint living in the Melcherhof,4,1,4,2,0,0,0,0,0,11315,45671
67,/rooms/53930525?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire holiday home in Hart im Zillertal,Perfect Lodgings / Panorama Penthouse,6,2,2,3,1,1,1,5,3,24693,108675
68,/rooms/36333363?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire rental unit in Rohrberg,Ferienwohnung Manuel - 800 Meter vom Skigebiet,5,2,5,1,1,1,1,4.63,8,13698,54791
69,/rooms/48178249?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire rental unit in Fügen,Apartment in Fügen with a shared wellness,4,2,3,2,1,1,0,0,0,7872,31488
70,/rooms/18324104?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire home in Finkenberg,Holiday home Traudl,8,4,8,1.5,1,1,1,4.96,52,19095,83808
71,/rooms/35252177?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire rental unit in Hippach,"Fantastic Apartment with Terrace, Mountain View & Wi-Fi; Parking Available",6,2,3,2,1,1,1,0,0,12233,58669
72,/rooms/51008374?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire rental unit in Hippach,APARTMENT with stunning views over the Zillertal,4,1,4,1,1,1,1,0,0,12322,54240
73,/rooms/37789112?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire rental unit in Fügen,Holiday cottages in the Zillertal (weekly discount 20%),7,3,6,1,1,0,0,4,9,6024,30697
74,/rooms/15167886?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire rental unit in Hippach-Schwendberg,Apartment Eberharter,6,3,3,3,1,1,1,4.67,6,12619,55841
75,/rooms/599095515503656397?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire rental unit in Aschau im Zillertal,Inviting apartment in Aschau with balcony,8,4,7,2,1,0,0,0,0,13987,55947
76,/rooms/16161097?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire rental unit in Aschau im Zillertal,Alpina for 4 persons.,4,1,2,1,1,1,0,4.57,23,8933,35730
77,/rooms/53025075?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Private room in Schwendau,Quaint living at the Melcherhof,4,1,4,2,0,0,0,0,0,11315,45671
78,/rooms/554153083857021463?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire rental unit in Ried im Zillertal,Apart Painting,5,2,5,1,1,1,1,0,0,20774,83094
79,/rooms/16241393?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=97bb10df-5918-4e9c-81be-9f5b44e21759,Entire rental unit in Schwendau,Luxury Appartement-Black Eagle HOME,7,2,2,1,1,1,1,4.93,14,32140,140856
80,/rooms/54059467?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire rental unit in Hippach-Schwendberg,"Apartment in the Alpine Chalet Bergprinzessin with Mountain View, Wi-Fi, Garden, Terrace & Balcony",4,2,3,1,1,1,1,0,0,21393,95802
81,/rooms/37789112?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire rental unit in Fügen,Holiday cottages in the Zillertal (weekly discount 20%),7,3,6,1,1,0,0,4,9,6024,30697
82,/rooms/606821104993227922?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire rental unit in Stumm,"""Apartmenthaus Zentral 8er App"" near the Ski Area with Mountain View, Wi-Fi, Balcony & Parking",8,2,4,1,1,1,1,0,0,11717,56111
83,/rooms/48178249?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire rental unit in Fügen,Apartment in Fügen with a shared wellness,4,2,3,2,1,1,0,0,0,7872,31488
84,/rooms/16241393?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire rental unit in Schwendau,Luxury Appartement-Black Eagle HOME,7,2,2,1,1,1,1,4.93,14,32140,140856
85,/rooms/599095515503656397?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire rental unit in Aschau im Zillertal,Inviting apartment in Aschau with balcony,8,4,7,2,1,0,0,0,0,13987,55947
86,/rooms/50752118?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Shared room in Schwendau,"Melcherhof,
rustikale Hütte kurz vor Mayrhofen",5,1,5,2,0,0,0,0,0,20717,82867
87,/rooms/50779941?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire serviced apartment in Hart im Zillertal,Seven Reasons / Panorama View 21,4,1,0,1,1,1,1,5,18,16194,71790
88,/rooms/23270806?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire home in Stumm,Apartment MüLLNERHAUS Silent in the Zillertal,6,3,5,2.5,1,1,1,5,3,16858,78158
89,/rooms/26627357?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire rental unit in Stummerberg,Apartment Retro 50m² in Old Mountain Farmhouse,4,2,5,1,1,0,0,4.93,75,9200,41338
90,/rooms/50276571?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire rental unit in Finkenberg,Apart Sport Stock Grünberg,4,1,0,1.5,1,1,1,0,0,20450,87574
91,/rooms/50016761?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire rental unit in Hart im Zillertal,Grand Alpin Panorama Lodge / Top 3,4,1,0,1.5,1,1,1,4.88,33,16070,70882
92,/rooms/53931579?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire holiday home in Hart im Zillertal,Perfect Lodgings / Panorama 12,4,1,0,1,1,1,1,4.88,8,17143,76410
93,/rooms/13982538?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire apartment in Mayrhofen,Royal Waldfeld,4,1,0,1.5,1,1,1,5,16,29577,125319
94,/rooms/49897825?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=32a17025-f801-4b6d-8c60-67ba660c2fc4,Entire loft in Schwaz,Top apartment  near the center (walking distance),5,1,3,1,1,1,1,4.95,20,12031,52168
